127.0.0.1 - - [18/Mar/2020:11:26:09 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [18/Mar/2020:11:26:10 +0900] "GET /my_web/index.jsp HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [18/Mar/2020:11:26:20 +0900] "GET /my_web/index.jsp HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [18/Mar/2020:11:26:20 +0900] "GET /favicon.ico HTTP/1.1" 404 720
192.168.0.54 - - [18/Mar/2020:11:27:18 +0900] "GET /my_web/index.jsp HTTP/1.1" 200 293
192.168.0.54 - - [18/Mar/2020:11:27:19 +0900] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [18/Mar/2020:11:30:51 +0900] "GET /my_web/index.jsp HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [18/Mar/2020:11:31:13 +0900] "GET /my_web/index.jsp HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [18/Mar/2020:11:31:16 +0900] "GET /my_web/index.jsp HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [18/Mar/2020:11:32:03 +0900] "GET /my_web/?user=%ED%99%8D%EA%B8%B8%EB%8F%99 HTTP/1.1" 200 300
0:0:0:0:0:0:0:1 - - [18/Mar/2020:11:32:11 +0900] "GET /my_web/?user=%ED%99%8D%EA%B8%B8%EB%8F%99 HTTP/1.1" 200 299
192.168.0.54 - - [18/Mar/2020:12:23:28 +0900] "GET /my_web/index.jsp HTTP/1.1" 404 729
